track_name,track_id,artist_name,artist_id,album_name,popularity,duration_ms,explicit,artist_genres
Heavy Water/I'd Rather Be Sleeping,6IUwiHsyKAZtfBy37Wu4ij,Grouper,31uyAcnY0kjjKKIQZMKX4i,Dragging a Dead Deer Up a Hill,49,173026,False,"['drone', 'slowcore', 'ambient', 'dream pop']"
Cocaine,5WNDXcsnWSzWvQl7oPIEeT,Dreams We've Had,5LkgVE79AHNZN7kMukfJFv,Dear Friend,24,364500,False,['dream pop']
Space Song,7H0ya83CMmgFcOhw0UB6ow,Beach House,56ZTgzPBDge0OvCGgMO3OY,Depression Cherry,77,320466,False,['dream pop']
Ghostride,476QHG5G8xxNI9VHTBFfjp,Crumb,4kSGbjWGxTchKpIxXPJv0B,Jinx,0,126120,False,"['neo-psychedelic', 'bedroom pop']"
Jeune,51tJQf4oxTMvONqstKnqmR,Ruby Haunt,7LpofGzdLlzTnTLOFUhDD5,The Middle of Nowhere,35,258876,False,"['dream pop', 'slowcore']"
Telephone,6xJSVfI6xi51iJrbm9KjXb,"CASTLEBEAT, Sonia Gadhia",0k8UHfMqW86uvhmhHiYzj3,Telephone,0,209274,False,"['bedroom pop', 'dream pop', 'lo-fi indie']"
Sleep Apnea,34LohAliZ2QKydqVJcFpwV,Beach Fossils,1bwUhKRmEkOZ1wuTnV9XjC,Clash the Truth,0,146293,False,"['dream pop', 'surf rock', 'shoegaze']"
Sodus,1cyRoWGazsa8Vr5qlDfvPP,Cemeteries,7s2GHSP1ToELf5MUqzgRqV,Barrow,54,398851,False,['dream pop']
Sidewalk,0AruNp6u8BWaYJL60JrKdQ,Momma,5Wj0an60VgRckYV9zlDe1e,Interloper,0,185758,False,['indie rock']
Nice to See You,7nEZZ1mWK7h98x8ENbQuqJ,"Vansire, FLOOR CRY",6ft7JnxMyZhp7N52qzHymY,Angel Youth,0,181677,False,['bedroom pop']
Extension Cord,4fcitkwj32DFTkqMUGONUu,Fog Lake,04GCjO1r1hPelibCUq9S8H,Farther Reaches,0,190407,False,"['slowcore', 'lo-fi indie']"
Nightlight Girl,3bdc7OoVK971mkwLno0cAz,Turnover,0gLjJuczGWhqKVMmVpIT52,Good Nature,0,226862,False,"['midwest emo', 'dream pop', 'pop punk']"
Wedding Crasher,1sbipnxbVjDy3kxrAavIoX,"Dream, Ivory",0qZyvjwZauLmrobrpJmvib,Wedding Crasher,0,251405,False,[]
Hazy,0qaEJgRNOChRTa6sS1NhJ7,VULPIX,3DTYK3Z5kuKfF4JNQG3h9l,SWARMS,30,266000,False,[]
Relax,1GHjBjnMJQ420waXq6Ut6I,Vacations,0U7iI0Dk4Ojvi17nZboNO4,Vibes,0,158573,False,[]
Heavenly,1Bh0UzthW8pKEnYg7v40Oa,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cry,1,288595,False,['dream pop']
Eclipse,4YLTFu7iyC3q34dvf5hRDq,Inner Wave,6AQEfqGPSxZX0nJVonYxi6,Eclipse,0,183633,False,[]
Thursday,4TzJGnsfwbBCkJGeunCpVK,Asobi Seksu,7vXdfh8G9fJVGvfUSkqf62,Citrus,0,257173,False,"['shoegaze', 'dream pop', 'shibuya-kei']"
Crashed Out,3EWRWKU5n62hhp8vgPwgfZ,Beach Fossils,1bwUhKRmEkOZ1wuTnV9XjC,Clash The Truth,0,204620,False,"['dream pop', 'surf rock', 'shoegaze']"
